date,Close
2000/7/17,179.25
2000/7/18,180.75
2000/7/19,182
2000/7/20,186
2000/7/21,187.75
2000/7/24,184.5
2000/7/25,182.75
2000/7/26,180.5
2000/7/27,181
2000/7/28,180.25
2000/7/31,180.25
2000/8/1,179.75
2000/8/2,180.5
2000/8/3,180
2000/8/4,178.75
2000/8/7,177.75
2000/8/8,179.5
2000/8/9,178.25
2000/8/10,177.25
2000/8/11,174.75
2000/8/14,175.75
2000/8/15,175.75
2000/8/16,178.5
2000/8/17,178.5
2000/8/18,177.5
2000/8/21,176.25
2000/8/22,175.5
2000/8/23,175.25
2000/8/24,176
2000/8/25,176.5
2000/8/28,179.5
2000/8/29,184.25
2000/8/30,181.5
2000/8/31,182
2000/9/1,183.25
2000/9/5,183.5
2000/9/6,186.25
2000/9/7,181
2000/9/8,181.75
2000/9/11,184.25
2000/9/12,186
2000/9/13,182.5
2000/9/14,181
2000/9/18,184
2000/9/19,185
2000/9/20,183.5
2000/9/21,183.75
2000/9/22,186.25
2000/9/25,186.25
2000/9/26,190
2000/9/27,190.5
2000/9/28,190.5
2000/9/29,192
2000/10/2,192
2000/10/3,195.25
2000/10/4,199.5
2000/10/5,200.5
2000/10/6,199.5
2000/10/9,199.5
2000/10/10,197.5
2000/10/11,199.75
2000/10/12,200.5
2000/10/13,204
2000/10/16,204
2000/10/17,203.25
2000/10/18,202
2000/10/19,203
2000/10/23,200.75
2000/10/25,199.5
2000/10/26,198
2000/10/27,196.25
2000/10/30,196
2000/11/2,202.25
2000/11/6,209.5
2000/11/7,211.25
2000/11/8,213.5
2000/11/9,211.25
2000/11/13,208.75
2000/11/14,208
2000/11/15,208.5
2000/11/16,208.25
2000/11/17,209.25
2000/11/20,212.25
2000/11/21,210.25
2000/11/22,210.25
2000/11/24,210.75
2000/11/27,212.5
2000/11/28,209.75
2000/11/29,207.5
2000/11/30,205
2000/12/1,209
2000/12/4,210
2000/12/18,215.5
2000/12/21,218
2000/12/26,220
2000/12/27,220.25
2000/12/28,221
2000/12/29,222.5
2001/1/2,222.5
2001/1/16,218.5
2001/1/17,216.25
2001/1/18,218.75
2001/1/19,218.5
2001/1/22,214.5
2001/1/23,216.5
2001/1/24,214.25
2001/1/25,214.5
2001/1/26,214
2001/1/29,208.75
2001/1/30,208.75
2001/1/31,208.5
2001/2/1,208.5
2001/2/2,211.5
2001/2/5,213
2001/2/6,211.5
2001/2/7,214
2001/2/8,211.25
2001/2/9,210.25
2001/2/12,209.75
2001/2/14,210.25
2001/2/15,213.5
2001/2/16,213
2001/2/20,212.5
2001/2/21,212
2001/2/22,210
2001/2/26,209.75
2001/2/27,209.5
2001/2/28,211.25
2001/3/1,214.5
2001/3/2,217
2001/3/5,215.5
