date,Close
2000/9/15,493.75
2000/9/18,484
2000/9/19,484.25
2000/9/20,483.25
2000/9/21,486.5
2000/9/22,491
2000/9/25,496.5
2000/9/26,496.5
2000/9/27,492.5
2000/9/28,497
2000/9/29,499
2000/10/2,488.5
2000/10/3,488.5
2000/10/4,489
2000/10/5,485.75
2000/10/6,486
2000/10/9,484.5
2000/10/10,483
2000/10/11,485
2000/10/12,478
2000/10/13,473.25
2000/10/16,465
2000/10/17,467.75
2000/10/18,468
2000/10/19,468
2000/10/20,473.25
2000/10/23,468.5
2000/10/24,463.5
2000/10/25,467.25
2000/10/26,467
2000/10/27,461
2000/10/30,457.75
2000/10/31,455.25
2000/11/1,462.75
2000/11/2,468.25
2000/11/3,473.5
2000/11/6,475
2000/11/7,473.5
2000/11/8,475.5
2000/11/9,474
2000/11/10,467.25
2000/11/13,462.5
2000/11/14,472
2000/11/15,478.5
2000/11/16,481
2000/11/17,479
2000/11/20,490.75
2000/11/21,491.25
2000/11/22,491
2000/11/24,495.25
2000/11/27,507.5
2000/11/28,497
2000/11/29,505.5
2000/11/30,502
2000/12/1,506.75
2000/12/4,505.25
2000/12/5,502
2000/12/6,499.75
2000/12/7,509.75
2000/12/8,500
2000/12/11,509
2000/12/12,512
2000/12/13,506
2000/12/14,508.75
2000/12/15,505
2000/12/18,513
2000/12/19,508
2000/12/20,512
2000/12/21,507.25
2000/12/22,511
2000/12/26,505.25
2000/12/27,501.75
2000/12/28,499
2000/12/29,499
2001/1/2,500
2001/1/3,493.75
2001/1/4,499.5
2001/1/5,493.75
2001/1/8,488
2001/1/9,491
2001/1/10,490.5
2001/1/11,482
2001/1/12,479.25
2001/1/16,481
2001/1/17,477
2001/1/18,473.5
2001/1/19,476
2001/1/22,469.5
2001/1/23,477.5
2001/1/24,468
2001/1/25,469
2001/1/26,467
2001/1/29,459.75
2001/1/30,461.25
2001/1/31,459.75
2001/2/1,458.25
2001/2/2,463
2001/2/5,468
2001/2/6,461
2001/2/7,465.25
2001/2/8,463
2001/2/9,453
2001/2/12,456.5
2001/2/13,450
2001/2/14,451.25
2001/2/15,453.25
2001/2/16,451.75
2001/2/20,458.5
2001/2/21,454
2001/2/22,459
2001/2/23,448
2001/2/26,447.75
2001/2/27,450.5
2001/2/28,454.75
2001/3/1,453.75
2001/3/2,460
2001/3/5,456.5
2001/3/6,456.5
2001/3/7,463
2001/3/8,458.5
2001/3/9,456.75
2001/3/12,455
2001/3/13,459
2001/3/14,442
2001/3/15,444.5
2001/3/16,447
2001/3/19,444.25
2001/3/20,445.75
2001/3/21,445.5
2001/3/22,438.5
2001/3/23,435.5
2001/3/26,439.75
2001/3/27,441
2001/3/28,444
2001/3/29,441.5
2001/3/30,436
2001/4/2,431.75
2001/4/3,430
2001/4/4,430
2001/4/5,439
2001/4/6,437.5
2001/4/9,437.75
2001/4/10,442
2001/4/11,434.5
2001/4/12,437.25
2001/4/16,434.75
2001/4/17,431.5
2001/4/18,428.25
2001/4/19,434.5
2001/4/20,431
2001/4/23,429.25
2001/4/24,423
2001/4/25,425
2001/4/26,424.75
2001/4/27,430
2001/4/30,422
2001/5/1,431.75
2001/5/2,436
2001/5/3,440
2001/5/4,442.75
2001/5/7,442.75
2001/5/8,440.25
2001/5/9,447.5
2001/5/10,447.5
2001/5/14,443
2001/5/15,443.5
2001/5/16,443.25
2001/5/17,447.25
2001/5/18,451
2001/5/21,446.5
2001/5/22,443.25
2001/5/23,445.25
2001/5/24,448
2001/5/25,450
2001/5/29,446.75
2001/5/30,439.5
2001/5/31,438
2001/6/1,454.25
2001/6/4,453.75
2001/6/5,457
2001/6/6,452
2001/6/7,461.5
2001/6/8,458.75
2001/6/12,473
2001/6/13,473
2001/6/14,474.75
2001/6/15,469.5
2001/6/18,461.5
2001/6/19,464.25
2001/6/20,470
2001/6/21,458.5
2001/6/22,453.5
2001/6/25,447
2001/6/26,445
2001/6/27,451
2001/6/28,456
2001/6/29,457.5
2001/7/2,471.75
2001/7/3,481.5
2001/7/5,482.25
2001/7/6,487.5
2001/7/9,486
2001/7/10,502
2001/7/11,505
2001/7/12,513
2001/7/13,525
2001/7/16,519
2001/7/17,529
2001/7/18,514.5
2001/7/19,517.5
2001/7/20,510
2001/7/23,492
2001/7/24,509.25
2001/7/25,504.5
2001/7/26,516
2001/7/27,510.5
2001/7/30,515
2001/7/31,496.25
2001/8/1,513.75
2001/8/2,512
2001/8/3,498
2001/8/6,498
2001/8/7,501.5
2001/8/8,508.5
2001/8/9,518
2001/8/10,514
2001/8/14,524.5
2001/8/15,512
2001/8/16,516
2001/8/17,505
2001/8/20,494.25
2001/8/21,493
2001/8/22,492.5
2001/8/23,485.5
2001/8/24,479.5
2001/8/27,477.5
2001/8/28,485.5
2001/8/29,475.25
2001/8/30,479
2001/8/31,474.5
2001/9/4,474.5
2001/9/5,479.25
2001/9/6,473
2001/9/7,465.75
2001/9/10,465.75
2001/9/11,465.25
2001/9/12,464.75
2001/9/13,480
2001/9/17,473
2001/9/18,479
2001/9/19,474.5
2001/9/20,469
2001/9/21,473
2001/9/24,470.5
2001/9/25,469
2001/9/26,463.25
2001/9/27,467
2001/9/28,460.25
2001/10/1,451.25
2001/10/2,452
2001/10/3,451.75
2001/10/4,451.25
2001/10/5,450.75
2001/10/8,454.25
2001/10/9,454
2001/10/10,451
2001/10/11,449
2001/10/12,446.5
2001/10/15,437
2001/10/16,430.5
2001/10/17,430.5
2001/10/18,435.25
2001/10/19,431
2001/10/22,423
2001/10/23,422.5
2001/10/24,422
2001/10/25,424.5
2001/10/26,428.25
2001/10/29,425.75
2001/10/30,427.75
2001/10/31,431
2001/11/1,428.75
2001/11/2,434
2001/11/5,432.5
2001/11/6,435.5
2001/11/7,432
2001/11/8,438.5
2001/11/9,436.5
2001/11/12,442.5
2001/11/13,445.25
2001/11/14,445
2001/11/15,446.5
2001/11/16,446
2001/11/19,453.5
2001/11/20,452.75
2001/11/21,449.75
2001/11/23,452.75
2001/11/26,451.5
2001/11/27,443
2001/11/28,443
2001/11/29,437
2001/11/30,439.5
2001/12/3,447
2001/12/4,446
2001/12/5,444.75
2001/12/6,444
2001/12/7,439.75
2001/12/10,445.25
2001/12/11,442.5
2001/12/12,436.75
2001/12/13,433.75
2001/12/14,435
2001/12/17,437.5
2001/12/18,436.75
2001/12/19,432.25
2001/12/20,435.5
2001/12/21,435.75
2001/12/24,435.5
2001/12/27,428.75
2001/12/28,428.5
2001/12/31,423.75
2002/1/2,422.75
2002/1/3,418.5
2002/1/4,423.5
2002/1/7,428
2002/1/8,430
2002/1/9,436
2002/1/10,440
2002/1/11,433.25
2002/1/14,446
2002/1/15,446
2002/1/16,445
2002/1/17,451.25
2002/1/18,450.25
2002/1/22,447.25
2002/1/23,439.5
2002/1/24,434
2002/1/25,438.75
2002/1/28,428.5
2002/1/29,431
2002/1/30,427
2002/1/31,429.5
2002/2/1,430.25
2002/2/4,428.75
2002/2/5,433
2002/2/6,432.75
2002/2/7,429
2002/2/8,432
2002/2/11,428.75
2002/2/12,431.25
2002/2/13,436
2002/2/14,439.25
2002/2/15,435.25
2002/2/19,437.5
2002/2/20,437.5
2002/2/21,444.25
2002/2/22,443.25
2002/2/25,441.25
2002/2/26,436.5
2002/2/27,438
2002/2/28,442.5
2002/3/1,435
2002/3/4,443
2002/3/5,443
2002/3/6,448.5
2002/3/7,453
2002/3/8,451
2002/3/11,455
2002/3/12,458
2002/3/13,455
2002/3/14,456
2002/3/15,467.5
2002/3/18,470.5
2002/3/19,461
2002/3/20,464
2002/3/21,458.5
2002/3/22,461.25
2002/3/25,465.5
2002/3/26,463.75
2002/3/27,468.75
2002/3/28,473.5
2002/4/1,474.25
2002/4/2,476
2002/4/3,472
2002/4/4,462
2002/4/5,460.5
2002/4/8,463.25
2002/4/9,459.25
2002/4/10,461.75
2002/4/11,458
2002/4/12,461
2002/4/15,456.5
2002/4/16,463.25
2002/4/17,473.25
2002/4/18,470.25
2002/4/19,472
2002/4/22,470.5
2002/4/23,474
2002/4/24,479.5
2002/4/25,474
2002/4/26,467.5
2002/4/29,461.75
2002/4/30,462.25
2002/5/1,460.25
2002/5/2,459.25
2002/5/3,459
2002/5/6,460.75
2002/5/7,461
2002/5/8,467.25
2002/5/9,473
2002/5/10,468.25
2002/5/13,477.5
2002/5/14,474.5
2002/5/15,482
2002/5/16,484.75
2002/5/17,487.5
2002/5/20,491.25
2002/5/21,490.5
2002/5/22,493
2002/5/23,491.5
2002/5/24,488
2002/5/28,497.25
2002/5/29,496.25
2002/5/30,501.25
2002/5/31,508.75
2002/6/3,505.5
2002/6/4,509.75
2002/6/5,513.75
2002/6/6,513.25
2002/6/7,507.5
2002/6/10,500.5
2002/6/11,500.5
2002/6/12,493.25
2002/6/13,501.25
2002/6/14,497
2002/6/17,498.75
2002/6/18,493
2002/6/19,491.5
2002/6/20,487.5
2002/6/21,495
2002/6/24,505.25
2002/6/25,503.25
2002/6/26,514
2002/6/27,522
2002/6/28,536.5
2002/7/1,549.5
2002/7/2,544.25
2002/7/3,556.5
2002/7/5,569.75
2002/7/8,573.5
2002/7/9,587.5
2002/7/10,584.5
2002/7/11,576.5
2002/7/12,578
2002/7/15,570
2002/7/16,579.75
2002/7/17,576.75
2002/7/18,577.5
2002/7/19,575.25
2002/7/22,593.75
2002/7/23,576
2002/7/24,584
2002/7/25,567.75
2002/7/26,550.75
2002/7/29,534.75
2002/7/30,544.5
2002/7/31,567.5
2002/8/1,568.5
2002/8/2,561.25
2002/8/5,559.25
2002/8/6,564.75
2002/8/7,560
2002/8/8,557.75
2002/8/9,568
2002/8/12,590.5
2002/8/13,593.25
2002/8/14,602
2002/8/15,592.25
2002/8/16,583.25
2002/8/19,569
2002/8/20,551.75
2002/8/21,554.25
2002/8/22,548
2002/8/23,552
2002/8/26,553.75
2002/8/27,562.75
2002/8/28,559.5
2002/8/29,555.25
2002/8/30,559
2002/9/3,559.75
2002/9/4,563.25
2002/9/5,565.5
2002/9/6,565
2002/9/9,573.5
2002/9/10,581
2002/9/11,591.5
2002/9/12,578
2002/9/13,563.5
2002/9/16,572.5
2002/9/17,573
2002/9/18,572
2002/9/19,564
2002/9/20,564.5
2002/9/23,553.25
2002/9/24,561.75
2002/9/25,558.75
2002/9/26,565.5
2002/9/27,560.25
2002/9/30,545.75
2002/10/1,542
2002/10/2,537.5
2002/10/3,538
2002/10/4,539.5
2002/10/7,539.75
2002/10/8,535.25
2002/10/9,523.5
2002/10/10,524.75
2002/10/11,528.5
2002/10/14,532.5
2002/10/15,547.75
2002/10/16,547
2002/10/17,550.75
2002/10/18,546
2002/10/21,551
2002/10/22,546.5
2002/10/23,554.5
2002/10/24,557.5
2002/10/25,557
2002/10/28,545.5
2002/10/29,557
2002/10/30,557
2002/10/31,565.25
2002/11/1,568.5
2002/11/4,575.25
2002/11/5,578.25
2002/11/6,580.5
2002/11/7,574
2002/11/8,563.25
2002/11/11,574
2002/11/12,569.5
2002/11/13,567.25
2002/11/14,569.5
2002/11/15,563.25
2002/11/18,566.5
2002/11/19,573.75
2002/11/20,575.75
2002/11/21,569.5
2002/11/22,571.75
2002/11/25,572.25
2002/11/26,573
2002/11/27,577.25
2002/11/29,578.75
2002/12/2,578.5
2002/12/3,564.5
2002/12/4,566.25
2002/12/5,562
2002/12/6,563.25
2002/12/9,562
2002/12/10,564
2002/12/11,568
2002/12/12,576
2002/12/13,572
2002/12/16,561.5
2002/12/17,556
2002/12/18,560.25
2002/12/19,563.75
2002/12/20,572
2002/12/23,572.75
2002/12/24,572.75
2002/12/26,565.75
2002/12/27,569.75
2002/12/30,565.75
2002/12/31,569.5
2003/1/2,584.5
2003/1/3,582.25
2003/1/6,582
2003/1/7,585.25
2003/1/8,589.5
2003/1/9,586.5
2003/1/10,564.75
2003/1/13,560.25
2003/1/14,555
2003/1/15,549.75
2003/1/16,549
2003/1/17,556
2003/1/21,556
2003/1/22,560
2003/1/23,561.5
2003/1/24,569
2003/1/27,567.25
2003/1/28,573.25
2003/1/29,561.25
2003/1/30,568.5
2003/1/31,564
2003/2/3,568
2003/2/4,570.5
2003/2/5,563
2003/2/6,562.5
2003/2/7,555.75
2003/2/10,564.75
2003/2/11,572
2003/2/12,563.25
2003/2/13,571.75
2003/2/14,573
2003/2/18,574
2003/2/19,571.75
2003/2/20,568.5
2003/2/21,574
2003/2/24,572.25
2003/2/25,576.25
2003/2/26,579.25
2003/2/27,581.5
2003/2/28,577
2003/3/3,576.5
2003/3/4,572.75
2003/3/5,568.5
2003/3/6,562.5
2003/3/7,564.5
2003/3/10,566.5
2003/3/11,567.75
2003/3/12,566.75
2003/3/13,576
2003/3/14,577.75
2003/3/17,568.25
2003/3/18,574
2003/3/19,570.5
2003/3/20,574.5
2003/3/21,576.75
2003/3/24,569.75
2003/3/25,573.5
2003/3/26,569
2003/3/27,580.25
2003/3/28,580
2003/3/31,574.5
2003/4/1,573.75
2003/4/2,586.75
2003/4/3,585.25
2003/4/4,590.75
2003/4/7,598.75
2003/4/8,601
2003/4/9,604
2003/4/10,601
2003/4/11,600.25
2003/4/14,607.75
2003/4/15,610.5
2003/4/16,609.25
2003/4/17,622
2003/4/21,616.5
2003/4/22,610
2003/4/23,603
2003/4/24,602.5
2003/4/25,599
2003/4/28,605
2003/4/29,620.75
2003/4/30,623.5
2003/5/1,625.75
2003/5/2,626.25
2003/5/5,623.75
2003/5/6,625
2003/5/7,623
2003/5/8,621.25
2003/5/9,636.25
2003/5/12,642.25
2003/5/13,642.5
2003/5/14,644
2003/5/15,648.75
2003/5/16,642
2003/5/19,637
2003/5/20,642.75
2003/5/21,640
2003/5/22,626.75
2003/5/23,628.25
2003/5/27,630.5
2003/5/28,623
2003/5/29,630
2003/5/30,624.5
2003/6/2,612.5
2003/6/3,610.25
2003/6/4,615.25
2003/6/5,618.75
2003/6/6,631.5
2003/6/9,625.5
2003/6/10,633.5
2003/6/11,629.5
2003/6/12,624.5
2003/6/13,614.5
2003/6/16,617.25
2003/6/17,621.25
2003/6/18,629
2003/6/19,630
2003/6/20,629.25
2003/6/23,630.25
2003/6/24,635.75
2003/6/25,642.75
2003/6/26,628.25
2003/6/27,631.5
2003/6/30,621.25
2003/7/1,626.25
2003/7/2,628.75
2003/7/3,626.75
2003/7/7,620.5
2003/7/8,613.75
2003/7/9,619
2003/7/10,614.5
2003/7/11,620.75
2003/7/14,610
2003/7/15,585.25
2003/7/16,582
2003/7/17,572.75
2003/7/18,560.5
2003/7/21,557.75
2003/7/22,561.75
2003/7/23,556.75
2003/7/24,547.75
2003/7/25,549.5
2003/7/28,554.25
2003/7/29,539.5
2003/7/30,534.5
2003/7/31,532.5
2003/8/1,537.5
2003/8/4,539.5
2003/8/5,542
2003/8/6,540
2003/8/7,543
2003/8/8,548.5
2003/8/11,556.5
2003/8/12,571.25
2003/8/13,564.5
2003/8/14,583
2003/8/15,552.25
2003/8/18,582.25
2003/8/19,567.75
2003/8/20,576.5
2003/8/21,578.5
2003/8/22,586.25
2003/8/25,586.25
2003/8/26,576.75
2003/8/27,582.5
2003/8/28,590.5
2003/8/29,595
2003/9/2,579.75
2003/9/3,586.25
2003/9/4,605.75
2003/9/5,608
2003/9/8,605.25
2003/9/9,615.5
2003/9/10,616.5
2003/9/11,637.5
2003/9/12,648
2003/9/15,619
2003/9/16,610.75
2003/9/17,617.25
2003/9/18,627
2003/9/19,638
2003/9/22,651.25
2003/9/23,651
2003/9/24,653
2003/9/25,655.5
2003/9/26,656.5
2003/9/29,683.25
2003/9/30,677.25
2003/10/1,687.25
2003/10/2,697
2003/10/3,678
2003/10/6,684
2003/10/7,687.75
2003/10/8,678.5
2003/10/9,692.5
2003/10/10,713.5
2003/10/13,731.5
2003/10/14,741.5
2003/10/15,727.5
2003/10/16,725.5
2003/10/17,729.25
2003/10/20,729.25
2003/10/21,730.25
2003/10/22,749.75
2003/10/23,763.75
2003/10/24,762.5
2003/10/27,758.5
2003/10/28,782
2003/10/29,800
2003/10/30,793.5
2003/10/31,794.25
2003/11/3,790
2003/11/4,757
2003/11/5,765.25
2003/11/6,757.75
2003/11/7,743
2003/11/10,757.5
2003/11/11,777
2003/11/12,769
2003/11/13,771
2003/11/14,773
2003/11/17,780
2003/11/18,777
2003/11/19,748.75
2003/11/20,759.25
2003/11/21,753.5
2003/11/24,737.25
2003/11/25,746
2003/11/26,745.75
2003/11/28,756.25
2003/12/1,761
2003/12/2,773.25
2003/12/3,778.25
2003/12/4,769
2003/12/5,760.5
2003/12/8,770.75
2003/12/9,787
2003/12/10,785
2003/12/11,766.75
2003/12/12,776.25
2003/12/15,773
2003/12/16,764.25
2003/12/17,768.5
2003/12/18,759.5
2003/12/19,764.75
2003/12/22,753.75
2003/12/23,741.25
2003/12/24,759.75
2003/12/26,792
2003/12/29,784.5
2003/12/30,777.5
2003/12/31,789
2004/1/2,792.5
2004/1/5,796.75
2004/1/6,796.25
2004/1/7,787.5
2004/1/8,793.5
2004/1/9,790
2004/1/12,816.5
2004/1/13,833
2004/1/14,830
2004/1/15,835
2004/1/16,835.75
2004/1/20,828.25
2004/1/21,842
2004/1/22,840.5
2004/1/23,839.25
2004/1/26,847.5
2004/1/27,835.5
2004/1/28,804.75
2004/1/29,809
2004/1/30,819.5
2004/2/2,793
2004/2/3,802.5
2004/2/4,805.75
2004/2/5,832.25
2004/2/6,840
2004/2/9,847.5
2004/2/10,834.75
2004/2/11,838
2004/2/12,822
2004/2/13,829
2004/2/17,851
2004/2/18,854.5
2004/2/19,880
2004/2/20,893
2004/2/23,911.5
2004/2/24,929.75
2004/2/25,933.75
2004/2/26,928
2004/2/27,942.5
2004/3/1,962.25
2004/3/2,931
2004/3/3,942
2004/3/4,932.5
2004/3/5,933.75
2004/3/8,911.5
2004/3/9,942
2004/3/10,923.5
2004/3/11,944
2004/3/12,954
2004/3/15,978.25
2004/3/16,989
2004/3/17,994
2004/3/18,1018
2004/3/19,1024
2004/3/22,1055.75
2004/3/23,1052
2004/3/24,1023.5
2004/3/25,1028.5
2004/3/26,1013
2004/3/29,1013
2004/3/30,1016.25
2004/3/31,995
2004/4/1,1029.5
2004/4/2,1045.5
2004/4/5,1024.5
2004/4/6,1009
2004/4/7,1016
2004/4/8,988
2004/4/12,967
2004/4/13,971.5
2004/4/14,1013
2004/4/15,963
2004/4/16,965
2004/4/19,969
2004/4/20,952.75
2004/4/21,935
2004/4/22,947
2004/4/23,967
2004/4/26,964.5
2004/4/27,1003
2004/4/28,996.5
2004/4/29,1014.5
2004/4/30,1034
2004/5/3,1041.5
2004/5/4,1038.25
2004/5/5,1034.5
2004/5/6,1018
2004/5/7,1050.5
2004/5/10,1040.5
2004/5/11,1053.5
2004/5/12,991.5
2004/5/13,1013
2004/5/14,969
2004/5/17,905.5
2004/5/18,874
2004/5/19,907.5
2004/5/20,869
2004/5/21,872.5
2004/5/24,866
2004/5/25,882.25
2004/5/26,872
2004/5/27,822
2004/5/28,814
2004/6/1,864
2004/6/2,849.5
2004/6/3,806
2004/6/4,838.5
2004/6/7,849
2004/6/8,852
2004/6/9,852
2004/6/10,847
2004/6/11,847
2004/6/14,872.5
2004/6/15,884
2004/6/16,869.5
2004/6/17,863
2004/6/18,872
2004/6/21,888.5
2004/6/22,887
2004/6/23,917.5
2004/6/24,921.5
2004/6/25,920.5
2004/6/28,885
2004/6/29,894.5
2004/6/30,893
2004/7/1,933.5
2004/7/2,939.5
2004/7/6,979.5
2004/7/7,961.5
2004/7/8,972.5
2004/7/9,954
2004/7/12,937
2004/7/13,911
2004/7/14,862.5
2004/7/15,751
2004/7/16,707.5
2004/7/19,707.5
2004/7/20,725
2004/7/21,707.5
2004/7/22,657.5
2004/7/23,669.5
2004/7/26,669
2004/7/27,665.5
2004/7/28,627
2004/7/29,624.5
2004/7/30,599.5
2004/8/2,598
2004/8/3,599.5
2004/8/4,590
2004/8/5,609.5
2004/8/6,606.75
2004/8/9,614.5
2004/8/10,630.5
2004/8/11,637
2004/8/12,687.5
2004/8/13,652
2004/8/16,575.5
2004/8/17,591.75
2004/8/18,600.25
2004/8/19,598.25
2004/8/20,594.75
2004/8/23,623
2004/8/24,620
2004/8/25,623.25
2004/8/26,616.75
2004/8/27,600.5
2004/8/30,622.5
2004/8/31,627.25
2004/9/1,636.5
2004/9/2,627.75
2004/9/3,614.75
2004/9/7,588
2004/9/8,581.5
2004/9/9,581.25
2004/9/10,563
2004/9/13,561
2004/9/14,560
2004/9/15,566.5
2004/9/16,557.25
2004/9/17,553
2004/9/20,543.75
2004/9/21,542.25
2004/9/22,538.25
2004/9/23,537.75
2004/9/24,523.5
2004/9/27,531
2004/9/28,531.5
2004/9/29,533.5
2004/9/30,527
2004/10/1,534.5
2004/10/4,525.25
2004/10/5,524
2004/10/6,526.25
2004/10/7,525.75
2004/10/8,528.5
2004/10/11,539
2004/10/12,513
2004/10/13,509.5
2004/10/14,515.5
2004/10/15,514
2004/10/18,514.75
2004/10/19,527.75
2004/10/20,532.5
2004/10/21,528
2004/10/22,530
2004/10/25,541
2004/10/26,539
2004/10/27,530
2004/10/28,529.5
2004/10/29,527.5
2004/11/1,518
2004/11/2,528
2004/11/3,524.25
2004/11/4,509.5
2004/11/5,505
2004/11/8,502
2004/11/9,510.5
2004/11/10,523
2004/11/11,520.5
2004/11/12,523.5
2004/11/15,535.75
2004/11/16,540.5
2004/11/17,553
2004/11/18,555
2004/11/19,550.5
2004/11/22,554.5
2004/11/23,561.25
2004/11/24,554
2004/11/26,548.5
2004/11/29,539.5
2004/11/30,534.75
2004/12/1,528
2004/12/2,520.75
2004/12/3,525.75
2004/12/6,529.75
2004/12/7,522
2004/12/8,529.25
2004/12/9,526.5
2004/12/10,533
2004/12/13,546.75
2004/12/14,550.25
2004/12/15,546
2004/12/16,544.5
2004/12/17,548.75
2004/12/20,550
2004/12/21,549
2004/12/22,546.25
2004/12/23,550.5
2004/12/27,558.5
2004/12/28,551.25
2004/12/29,546.75
2004/12/30,547.75
2004/12/31,547.75
2005/1/3,537.25
2005/1/4,529.75
2005/1/5,534
2005/1/6,541.75
2005/1/7,551.75
2005/1/10,560
2005/1/11,557.5
2005/1/12,554
2005/1/13,557.5
2005/1/14,542
2005/1/18,513.5
2005/1/19,517.75
2005/1/20,523.25
2005/1/21,516.75
