date,Close
2000/7/17,244
2000/7/18,241.25
2000/7/19,245
2000/7/20,247
2000/7/21,247.25
2000/7/24,245.5
2000/7/25,245.5
2000/7/26,244.25
2000/7/27,245.75
2000/7/28,248.5
2000/7/31,246
2000/8/1,245
2000/8/2,246.5
2000/8/3,242.25
2000/8/4,236.5
2000/8/7,233.5
2000/8/8,236.5
2000/8/9,235.5
2000/8/10,235.75
2000/8/11,236.75
2000/8/14,238.5
2000/8/15,240.5
2000/8/16,243.5
2000/8/17,239.5
2000/8/18,238.5
2000/8/21,236.25
2000/8/22,234.75
2000/8/23,233.75
2000/8/24,240.5
2000/8/25,241.5
2000/8/28,242.5
2000/8/29,250.25
2000/8/30,246.25
2000/8/31,251
2000/9/1,251
2000/9/5,250.25
2000/9/6,253
2000/9/8,249.5
2000/9/11,250.5
2000/9/12,249.25
2000/9/13,245
2000/9/14,242
2000/9/15,254.5
2000/9/18,252.25
2000/9/19,256.5
2000/9/20,248
2000/9/21,247
2000/9/22,247.5
2000/9/25,255
2000/9/26,254.25
2000/9/27,253
2000/9/28,259.75
2000/9/29,258
2000/10/2,270.5
2000/10/3,269
2000/10/4,266.75
2000/10/5,265.25
2000/10/6,266.5
2000/10/9,267.5
2000/10/10,267
2000/10/11,273.5
2000/10/12,277.25
2000/10/13,272.75
2000/10/16,266
2000/10/17,271.5
2000/10/18,266.75
2000/10/19,264.75
2000/10/20,259.5
2000/10/23,260
2000/10/24,258.5
2000/10/25,256.5
2000/10/26,255.5
2000/10/27,256.25
2000/10/30,260.5
2000/10/31,253.5
2000/11/2,256.75
2000/11/3,261.5
2000/11/6,265.5
2000/11/7,261.5
2000/11/8,263.25
2000/11/9,266.25
2000/11/10,256.25
2000/11/13,257
2000/11/14,258
2000/11/15,255.5
2000/11/16,253
2000/11/17,256.25
2000/11/20,257.75
2000/11/21,255.75
2000/11/22,257.5
2000/11/24,260.25
2000/11/27,261
2000/11/28,256.5
2000/11/29,256.25
2000/11/30,252.5
2000/12/1,256.25
2000/12/4,260.5
2000/12/5,262
2000/12/15,267.5
2000/12/18,266.75
2000/12/19,269.5
2000/12/20,273.5
2000/12/21,271.75
2000/12/22,275.75
2000/12/27,274
2000/12/28,272
2000/12/29,272.75
2001/1/2,277.25
2001/1/3,275.75
2001/1/4,283
2001/1/5,284.25
2001/1/8,281.25
2001/1/9,281
2001/1/10,285.5
2001/1/11,288.25
2001/1/12,288
2001/1/16,287
2001/1/17,283
2001/1/18,284.25
2001/1/19,285.5
2001/1/22,286
2001/1/23,285.25
2001/1/24,286.5
2001/1/25,285
2001/1/26,278.75
2001/1/29,274.75
2001/1/30,271
2001/1/31,271
2001/2/1,273
2001/2/2,269.25
2001/2/5,271.5
2001/2/6,267.5
2001/2/7,267
2001/2/8,267.5
2001/2/9,267.25
2001/2/12,266
2001/2/14,265
2001/2/15,268.5
2001/2/16,269
2001/2/20,267
2001/2/21,267
2001/2/22,263
2001/2/26,259.75
2001/2/27,260
2001/2/28,257.5
2001/3/1,267.75
2001/3/2,266.75
2001/3/6,274
2001/3/7,272.25
2001/3/9,268
2001/3/12,277
2001/3/15,284
2001/3/16,273
2001/3/19,271.25
2001/3/20,268.75
2001/3/21,269.75
2001/3/22,267.5
2001/3/23,261.5
2001/3/26,264.5
2001/3/27,269.25
2001/3/28,269
2001/3/29,265
2001/4/2,260.5
2001/4/4,263.25
2001/4/5,267.5
2001/4/6,266.75
2001/4/9,264
2001/4/10,261.75
2001/4/11,257
2001/4/12,263
2001/4/16,270.5
2001/4/17,269.5
2001/4/18,265.75
2001/4/19,269.5
2001/4/20,267.75
2001/4/23,268
2001/4/24,264.75
2001/4/25,265
2001/4/26,270.25
2001/4/27,268.75
2001/4/30,265.75
2001/5/1,275.5
2001/5/2,271
2001/5/3,268.25
2001/5/4,263
2001/5/7,263
2001/5/9,257.75
2001/5/10,256.5
2001/5/11,260
2001/5/14,260
2001/5/15,279.5
2001/5/16,277
2001/5/17,275
2001/5/18,275.5
2001/5/21,269.75
2001/5/22,263
2001/5/23,262
2001/5/24,261.75
2001/5/25,262.5
2001/5/29,260.5
2001/5/30,267.5
2001/5/31,264.75
2001/6/1,269
2001/6/4,269.5
2001/6/5,263.5
2001/6/6,259.5
2001/6/7,262.75
2001/6/8,265
2001/6/12,260.5
2001/6/13,264.5
2001/6/14,259.25
2001/6/15,258.25
2001/6/18,256.5
2001/6/19,264
2001/6/20,262
2001/6/21,255
2001/6/22,254.75
2001/6/25,251
2001/6/26,248
2001/6/27,249
2001/6/28,249
2001/6/29,244.75
2001/7/2,246.25
2001/7/3,250
2001/7/5,253.5
2001/7/6,257
2001/7/9,257.75
2001/7/10,258.25
2001/7/11,262
2001/7/12,265
2001/7/13,287.75
2001/7/16,283
2001/7/17,290
